9:06:23 PMBed probe heights: -0.272, mean -0.272, deviation from mean 0.000
9:06:21 PMX:0.00 Y:40.00 Z:3.50 E0:0.0 E1:0.0 E2:0.0 E3:0.0 E4:0.0 E5:0.0 Count 0 4000 1400 0 0 0 0 0 0
9:06:15 PMBed probe heights: -0.140, mean -0.140, deviation from mean 0.000
9:06:13 PMBed probe heights: 0.030, mean 0.030, deviation from mean 0.000
9:06:11 PMBed probe heights: 0.058, mean 0.058, deviation from mean 0.000
9:06:09 PMBed probe heights: 0.090, mean 0.090, deviation from mean 0.000
9:06:07 PMBed probe heights: 0.038, mean 0.038, deviation from mean 0.000
9:06:05 PMBed probe heights: -0.250, mean -0.250, deviation from mean 0.000
9:06:02 PMBed probe heights: 0.050, mean 0.050, deviation from mean 0.000
9:06:00 PMBed probe heights: 0.040, mean 0.040, deviation from mean 0.000
9:05:58 PMBed probe heights: 0.007, mean 0.007, deviation from mean 0.000
9:05:56 PMBed probe heights: -0.023, mean -0.023, deviation from mean 0.000
9:05:54 PMBed probe heights: -0.110, mean -0.110, deviation from mean 0.000
9:05:51 PMBed probe heights: -0.025, mean -0.025, deviation from mean 0.000
9:05:49 PMBed probe heights: -0.095, mean -0.095, deviation from mean 0.000
9:05:47 PMBed probe heights: -0.175, mean -0.175, deviation from mean 0.000
9:05:45 PMBed probe heights: -0.165, mean -0.165, deviation from mean 0.000
9:05:43 PMX:0.00 Y:20.00 Z:3.50 E0:0.0 E1:0.0 E2:0.0 E3:0.0 E4:0.0 E5:0.0 Count 0 2000 1400 0 0 0 0 0 0
9:05:37 PMBed probe heights: 0.062, mean 0.062, deviation from mean 0.000
9:05:35 PMBed probe heights: -0.050, mean -0.050, deviation from mean 0.000
9:05:33 PMBed probe heights: 0.152, mean 0.152, deviation from mean 0.000
9:05:30 PMBed probe heights: 0.132, mean 0.132, deviation from mean 0.000
9:05:28 PMBed probe heights: 0.015, mean 0.015, deviation from mean 0.000
9:05:26 PMBed probe heights: 0.118, mean 0.118, deviation from mean 0.000
9:05:24 PMBed probe heights: 0.075, mean 0.075, deviation from mean 0.000
9:05:22 PMBed probe heights: 0.082, mean 0.082, deviation from mean 0.000
9:05:20 PMBed probe heights: 0.123, mean 0.123, deviation from mean 0.000
9:05:18 PMBed probe heights: 0.115, mean 0.115, deviation from mean 0.000
9:05:16 PMBed probe heights: 0.132, mean 0.132, deviation from mean 0.000
9:05:13 PMBed probe heights: 0.082, mean 0.082, deviation from mean 0.000
9:05:11 PMBed probe heights: 0.048, mean 0.048, deviation from mean 0.000
9:05:09 PMBed probe heights: 0.027, mean 0.027, deviation from mean 0.000
9:05:07 PMBed probe heights: 0.005, mean 0.005, deviation from mean 0.000
9:05:05 PMX:0.00 Y:0.00 Z:0.50 E0:0.0 E1:0.0 E2:0.0 E3:0.0 E4:0.0 E5:0.0 Count 0 0 200 0 0 0 0 0 0
